Firm Name,Address,Country,Ineligibility Period (From),Ineligibility Period (To),Grounds
PT. AREABANGUN PUTRA SEJATI*460,"CIPAGANTI DREAM LAND A-1, JL. JENDRAL A.H. NASUTION (RAYA UJUNGBERUNG), BANDUNG 40612, WEST JAVA",Indonesia,2019-01-23,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
EMMAJOKO NIG ENTERPRISES*462,"NO. 4 ONYEMEKAIHA CLOSE, OPP. THE AIRPORT, WARRI, OKPE L.G.A, DELTA STATE",Nigeria,2019-01-29,2999-12-31,Consultant Guidelines 1.23(a)(i)
MR. HENRY CHINEDU OJOKO*463,"PROPRIETOR, EMMAJOKO NIG ENTERPRISES, NO. 4 ONYEMEKAIHA CLOSE, OPP. THE AIRPORT, WARRI, OKPE L.G.A, DELTA STATE",Nigeria,2019-01-29,2999-12-31,Consultant Guidelines 1.23(a)(i)
IM DISTRIBUCIONES*469,N/A,Honduras,2019-03-01,2999-12-31,Controlled Affiliate of a Sanctioned Entity.
MR. KLEMEN JERIN*518 and 572,"MAGDALENENWEG 26, 85551 KIRCHHEIM",Germany,2020-02-25,2033-08-23,Corrupt Practice
"SHANGHAI HETAI CONSTRUCTION ENGINEERING CO., LTD.*491","NO. 289, ZHUJING TOWN, JINSHAN DISTRICT, SHANGHAI CITY",China,2019-07-16,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
VIETNAM WATER AND ENVIRONMENT INVESTMENT CORPORATION – JSC*617,"52 QUOC TU GIAM, VAN MIEU WARD, DONG DA DISTRICT, HANOI",Viet Nam,2022-09-26,2999-12-31,Fraudulent Practices
PETROWACO PROPERTY JOINT STOCK COMPANY(Reg. No: 0103013617)*617,"NO. 52 QUOC TU GIAM, VAN MIEU WARD, DONG DA DISTRICT, HA NOI",Viet Nam,2022-09-26,2999-12-31,Controlled Affiliate of a Sanctioned Entity
TECHONOLOGY SERVICES JOINT STOCK COMPANY (TSC)(Reg. No: 0101397873)*617,"3RD FLOOR, THANH BINH BUILDING, N07, B2, THANH THAI ROAD, CAU GIAY, HA NOI",Viet Nam,2022-09-26,2999-12-31,Controlled Affiliate of a Sanctioned Entity
PVOIL-PHU THO JOINT STOCK COMPANY(Reg. No: 0102421913)*617,"148, HOANG QUOC VIET, CAU GIAY, HA NOI",Viet Nam,2022-09-26,2999-12-31,Controlled Affiliate of a Sanctioned Entity
DAI VIET DUCTILE IRON PIPES LIMITED COMPANY - WAHSIN(Reg. No: 3600254629)*617,"NO. 2, ROAD 4A - BIEN HOA II INDUSTRIAL PARK, DONG NAI",Viet Nam,2022-09-26,2999-12-31,Controlled Affiliate of Sanctioned Entity
"SUOI DAU WATER SUPPLY, DRAINAGE INVESTMENT AND CONSTRUCTION JSC(Reg. No: 4201574467)*617","4TH FLOOR, 58 YERSIN, PHUONG SAI WARD, NHA TRANG WARD, KHANH HOA",Viet Nam,2022-09-26,2999-12-31,Controlled Affiliate of a Sanctioned Entity
"JIANGXI PROVINCE QUNLI CONSTRUCTION CO., LTD.*474","NO. 293 YONGFENG AVENUE, GUANGFENG DISTRICT, SHANGRAO CITY, JIANGXI, CHINA 414000",China,2019-04-18,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
"YULIN YUYANG DISTRICT XINGYUAN HYDROPOWER ENGINEERING CO., LTD.*476","158 NORTH XINJIAN ROAD, YUYANG DISTRICT, YULIN CITY, SHAANXI PROVINCE, CHINA 719000",China,2019-04-26,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
"GANSU LUGANG CONSTRUCTION ENGINEERING CO., LTD.(甘肃路港建设工程有限公司)*457","ROOM 1105, FLOOR 11, XIMAI MANSION, 12 YANNAN ROAD, HIGH-TECH ZONE, CHENGGUAN DISTRICT, LANZHOU, GANSU PROVINCE",China,2017-12-19,2999-12-31,Controlled Affiliate of a Sanctioned Entity.
MR. NICOLÁS MAURICIO IRÍAS OSORIO*469,"COLONIA LA GRANJA, JUTICALPA, OLANCHO",Honduras,2019-03-01,2999-12-31,"Consultant Guidelines, 1.22(a)(ii)"
WATER SUPPLY SEWERAGE CONSTRUCTION AND INVESTMENT JOINT STOCK COMPANY (WASECO)(Reg. No: 0300393538)*617,"NO.10 PHO QUANG, WARD NO. 2, TAN  BINH DIST., HO CHI MINH CITY",Viet Nam,2022-09-26,2999-12-31,Controlled Affiliate of a Sanctioned Entity
"LUGANG GROUP WUHU EARTHWORK ENGINEERING CO., LTD.(路港集团芜湖土石方工程有限公司)*457","ROOM 1207, TAIXIN BUSINESS CENTER, YIJIANG DISTRICT, WUHU CITY",China,2017-12-19,2999-12-31,Controlled Affiliate of a Sanctioned Entity.
"WENZHOU OUHAI NANHU ROAD ENGINEERING CONSTRUCTION CO., LTD.(温州瓯海南湖路工程建设有限公司)*457","ROOM 603, FLOOR 6, RAILWAY MANSION, WENZHOU AVENUE, WENZHOU CITY, ZHEJIANG PROVINCE",China,2017-12-19,2999-12-31,Controlled Affiliate of a Sanctioned Entity.
SIGNALETIQUE S.A. SPF(Reg. No.: B172286)*475,"6, RUE EUGENE RUPPERT, L-2453",Luxembourg,2019-11-22,2025-10-23,Controlled Affiliate of a Sanctioned Entity.
DRC B.V.DEVELOPMENT AND RELIEF CORPORATION B.V *161,"INDUSTRIEWEG 24, 4153 BW BEESD",Netherlands,2013-09-09,2999-12-31,"2004 Procurement Guidelines, para. 1.14(a)(i)"
TIGER IT AMERICAS LLC(Reg. No.: 603 348 463)*475,"999 3RD AVENUE, SUITE 700, SEATTLE, WA, 98104",United States,2019-11-22,2028-10-23,Controlled Affiliate of a Sanctioned Entity.
ECOGRAPHY COMPANY*294 ECOGRAPH LLC,"BUILDING OF MONGOL ENGINEER CO. LTD., KHOROO 20, BAYANGOL DISTRICT, ULANBATAAR",Mongolia,2015-10-15,2999-12-31,"Consultant Guidelines, 1.22(a)(ii)"
LLC “CONMARKS”*521,"1-18, AL-BERUNI STREET, DUSHANBE 734026",Tajikistan,2020-04-07,2999-12-31,"Procurement Guidelines, 1.16(a)(ii)"
PT. SUBURO JAYANA INDAH CORP.(also doing business as Sujainco) (Reg. No. 09.04.1.46.28307)*502,"JL. MANUNGGAL PRATAMA NO. 8, KEL. CIPINANG MELAYU, KEC. MAKASSAR JAKARTA TIMUR 13620",Indonesia,2019-09-17,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
ESWARI ELECTRICALS PVT. LIMITED*513,"PLOT NO. 64, INDUSTRIAL ESTATE, PERUNGUDI, CHENNAI-600096, TAMIL NADU",India,2019-11-26,2999-12-31,"Procurement Guidelines, 1.16(a)(ii)"
INDUSTRIAL INVESTMENT GROUP ALC*526   Currently doing business as Industrial Investment Group LLC,"35A PONOMARENKO ST., OFFICE 214, MINSK",Belarus,2020-05-06,2026-05-05,"January 2011 Procurement Guidelines, Paragraph 1.16(a)(ii)"
EXODE TRAVEL*510,"AVENUE DES MILITANTS, NO. 5 AEROPORT DE N’DOLO, KINSHASA","Congo, Democratic Republic of",2019-11-05,2999-12-31,"Procurement Guidelines, 1.14 (a)(ii) and 1.16(a)(ii)"
LLC “WOODMANMEBEL”*514,"YUROVSKAYA STREET 92, OFFICE NO. 1, MOSCOW 125466",Russian Federation,2019-12-31,2999-12-31,"Procurement Guidelines, 1.16(a)(ii)"
LTD DAGI(also d/b/a DAGI LLC) *516,"NO. 29 MITSKEVICHI STREET, TBILISI 0194",Georgia,2020-02-06,2999-12-31,"January 2011, revised July 2014 Proc. Guidelines Paragraph 1.16(a)(ii)"
KENOSTER (NIGERIA) LIMITED*515,"35 KENYATTA STREET, UWAMI-ENUGU",Nigeria,2020-02-03,2999-12-31,"January 2011 Procurement Guidelines, Paragraph 1.16(a)(ii)"
"CHANGHONG CONSTRUCTION GROUP CO., LTD.(昌宏建设集团有限公司)*508","FLOOR 15, BUILDING A, TIME SQUARE, 555 DIEZIHU AVENUE, HONGGUTAN, NANCHANG CITY, 330000",China,2019-10-16,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
MR. UGOCHUKWU EZEH*515,"KM 3, ABAKALIKI EXPRESSWAY, ENUGU",Nigeria,2020-02-03,2999-12-31,"January 2011 Procurement Guidelines, Paragraph 1.16(a)(ii)"
"TENGWANGGE CONSTRUCTION ENGINEERING GROUP CO., LTD.(滕王阁建工集团股份有限公司) (d/b/a Jiangxi Tengwangge Construction Engineering Group. Co. Ltd.) *507","ROOM 1301, BUILDING A, HENG SHENG YIN DU, 850 FENGHUANG ZHONG AVENUE, HONGGUTAN NEW DISTRICT, NANCHANG CITY, JIANGXI PROVINCE, 330038",China,2019-10-01,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
PT. RUDY JAYA*506,"JL. GAJAH MADA NO. 404 DESA JANTI, KEC. TARIK, SIDOARJO, JAWA TIMUR",Indonesia,2019-09-27,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
TECHNIQUE IMPORT EXPORT JOINT STOCK COMPANY*585,"NO. 70 TRAN HUNG DAO STREET, TRAN HUNG DAO WARD, HOAN KIEM DISTRICT, HANOI CITY",Viet Nam,2021-08-10,2026-08-09,Collusive Practice
A2Z INFRASERVICES LTD.*553,"O-116, 1ST FLOOR, DLF SHOPPING MALL, ARJUN MARG, DLF PH-I GURUGRAM - 122002, HARYANA",India,2021-03-17,2024-11-11,Controlled Affiliate of a Sanctioned Entity.
A2Z POWERCOM LTD.*553,"O-116, 1ST FLOOR, DLF SHOPPING MALL, ARJUN MARG, DLF PH-I GURUGRAM - 122002, HARYANA",India,2021-03-17,2024-11-11,Controlled Affiliate of a Sanctioned Entity.
MAGIC GENIE SERVICES LTD.*553,"O-116, 1ST FLOOR, DLF SHOPPING MALL, ARJUN MARG, DLF PH-I GURUGRAM - 122002, HARYANA",India,2021-03-17,2024-11-11,Controlled Affiliate of a Sanctioned Entity.
CHAVAN RISHI INTERNATIONAL LTD.*553,"PLOT NO. B. 38, INSTITUTIONAL AREA, SECTOR-32, GURUGRAM- 122001, HARYANA",India,2021-03-17,2024-11-11,Controlled Affiliate of a Sanctioned Entity.
MANSI BIJLEE & RICE MILLS LTD.*553,"O-116, 1ST FLOOR, DLF SHOPPING MALL, ARJUN MARG, DLF PH-I GURUGRAM - 122002, HARYANA",India,2021-03-17,2024-11-11,Controlled Affiliate of a Sanctioned Entity.
ECOGREEN ENVIROTECH SOLUTIONS LTD.*553,"O-116, 1ST FLOOR, DLF SHOPPING MALL, ARJUN MARG, DLF PH-I GURUGRAM - 122002, HARYANA",India,2021-03-17,2024-11-11,Controlled Affiliate of a Sanctioned Entity.
MAGIC GENIE SMARTECH SOLUTIONS LTD.*553,"PLOT NO. B. 38, INSTITUTIONAL AREA, SECTOR -32, GURUGRAM- 122001, HARYANA",India,2021-03-17,2024-11-11,Controlled Affiliate of a Sanctioned Entity.
ODELGA MED GES.M.B.H.*579,"CARLBERGERGASSE 68, 1230 VIENNA",Austria,2021-06-08,2027-06-07,Fraudulent & Corrupt Practices
LUKENYA GREENS LIMITED*614,"MITSUMI BUSINESS PARK, 5TH FLOOR, SUITE 502, 67 MUTHITHI ROAD, WESTLANDS NAIROBI, P.O. BOX 72149, NAIROBI 00200",Kenya,2022-06-29,2025-06-28,Fraudulent Practices
MR. MARTIN KURIA KIBAARA*614,"LUKENYA GREENS LIMITED, MITSUMI BUSINESS PARK, 5TH FLOOR, SUITE 502, 67 MUTHITHI ROAD, WESTLANDS NAIROBI, P.O. BOX 72149, NAIROBI 00200",Kenya,2022-06-29,2999-12-31,Fraudulent Practice
A2Z INFRASERVICES LANKA PVT. LTD.*553,"BOC MERCHANT TOWER, LEVEL 8, NO: 28 ST. MICHAEL’S ROAD, COLOMBO 3",Sri Lanka,2021-03-17,2024-11-11,Controlled Affiliate of a Sanctioned Entity.
A2Z WASTE MANAGEMENT (ALIGARH) LTD.*553,"PLOT NO. B. 38, INSTITUTIONAL AREA, SECTOR -32, GURUGRAM- 122001, HARYANA",India,2021-03-17,2024-11-11,Controlled Affiliate of a Sanctioned Entity.
A2Z WASTE MANAGEMENT (LUDHIANA) LTD.*553,"PLOT NO. B. 38, INSTITUTIONAL AREA, SECTOR -32, GURUGRAM- 122001, HARYANA",India,2021-03-17,2024-11-11,Controlled Affiliate of a Sanctioned Entity.
RISHIKESH WASTE MANAGEMENT LTD.(FORMERLY KNOWN AS A2Z POWERTECH LTD.) *553,"O-116, 1ST FLOOR, DLF SHOPPING MALL, ARJUN MARG, DLF PH-I GURUGRAM - 122002, HARYANA",India,2021-03-17,2024-11-11,Controlled Affiliate of a Sanctioned Entity.
ASBECO NIGERIA LTD.*578,"NO. 10 EFFANGA MKPA STREET, STATE HOUSING ESTATE, CALABAR, CROSS RIVER STATE",Nigeria,2021-05-25,2026-05-24,Corrupt Practice
HIKMA CONSTRUCTION AND GENERAL TRADING COMPANY*573,"AFAR-IRDOD STREET, BAIDOA, BAY REGION",Somalia,2021-04-06,2027-04-05,Fraudulent and Collusive Practices
XI'AN JIAXIANG AUTOMOBILE SERVICE CO. LTD.,"NO. 6 EFANG FIRST ROAD, WEIYANG DISTRICT, XI'AN CITY",China,2020-12-16,2026-08-07,Cross Debarment: ADB
TIAN XIAOYANG,"NO.6 EFANG FIRST ROAD, WEIYANG DISTRICT, XI'AN CITY",China,2020-12-16,2026-08-07,Cross Debarment: ADB
SHAANXI JIAMING INDUSTRY CO. LTD.,"NO. 6 EFANG FIRST ROAD, WEIYANG DISTRICT, XI'AN CITY",China,2020-12-16,2025-08-07,Cross Debarment: ADB
YANG TING,"AREA C5, FENGCHENG FOURTH ROAD ECONOMIC DEVELOPMENT (JINGKAI) DISTRICT, XI'AN CITY",China,2020-12-16,2025-08-07,Cross Debarment: ADB
SHAANXI BEISHENG DONGFENG AUTOMOBILE SALES AND SERVICE CO. LTD.,"EAST TO MINGGUANG ROAD, AREA G4 JINGKAI AREA, XI'AN CITY",China,2020-12-16,2025-08-07,Cross Debarment: ADB
"ALLONWARD HYDRO-GENERATING EQUIPMENT (HONGKONG) CO., LTD.*570",HONGKONG,"Hong Kong SAR, China",2021-03-09,2025-03-08,Controlled Affiliate of a Sanctioned Entity.
THAI SON TRAFFIC WORK CONSTRUCTION JSC*590,"SỐ 77, KHU BIỆT THỰ NGÂN LONG, ĐƯỜNG NGUYỄN HỮU THỌ,XÃ PHƯỚC KIỂN, HUYỆN NHÀ BÈ, HO CHI MINH CITY",Viet Nam,2021-12-06,2028-06-05,Fraudulent & Obstructive Practices
ZENG XIANGLIN,"NO. 6 EFANG FIRST ROAD, WEIYANG DISTRICT, XI'AN CITY",China,2020-12-16,2025-08-07,Cross Debarment: ADB
"HUNAN ALLONWARD HYDRO-GENERATING EQUIPMENT CO., LTD.*570","52#, QUANZHOU NORTH RD, NINGXIANG HIGH-TECH DEVELOPMENT ZONE, CHANGSHA, HUNAN 410600",China,2021-03-09,2025-03-08,Fraudulent Practice
THAI SON TRAFFIC WORK CONSTRUCTION JSC*590,"SỐ 51, LȂ XUȂN OAI, PHUÒNG LONG TRUÒNG, QUȂN 9, HO CHI MINH CITY",Viet Nam,2021-12-06,2028-06-05,Fraudulent & Obstructive Practices
"PT. ARIS MAKMUR MANDIRI*566, 576","JL. RAYA CIGINTUNG NO. 126 A BOJONG, KEC. CILIMUS, KUNINGAN 45556",Indonesia,2021-02-17,2999-12-31,Fraudulent Practice;  Controlled Affiliate of a Sanctioned Entity.
JING YAPENG,"NO. 6 EPANG FIRST ROAD, WEIYANG DISTRICT, XI'AN CITY",China,2020-12-16,2026-08-07,Cross Debarment: ADB
ZHAO XU,"NO. 6 EFANG FIRST ROAD, WEIYANG DISTRICT, XI'AN CITY",China,2020-12-16,2026-08-07,Cross Debarment: ADB
"LOTTE DATA COMMUNICATIONS COMPANY LIMITED(now known as Lotte Innovate Company, Limited) *623 (Reg. No. 110111-6557114)","179, GASAN DIGITAL 2-RO, GEUMCHEON-GU, SEOUL","Korea, Republic of",2022-12-02,2025-12-01,Obstructive Practice
LOTTE DATA COMMUNICATION COMPANY LIMITED VIETNAM*623,HCMC,Viet Nam,2022-12-02,2025-12-01,Controlled Affiliate of a Sanctioned Entity.
"XINCAI GEOLOGY AND MINERAL CONSTRUCTION ENGINEERING CO., LTD.(新蔡地矿建设工程有限公司)*632","SOUTHWEST HOUSE, 23RD FLOOR, BUILDING 6, RENHE HOMELAND, YUELIANGWAN STREET, XINCAI COUNTY, ZHUMADIAN, HENAN",China,2023-05-02,2026-05-01,Controlled Affiliate of a Sanctioned Entity
QUVASOY MUKAMMAL TAMIR LLC(now known as FAR KURLISH MONTAJ INVEST) (Reg. No. 300494794) *371,"3A SH. RASHIDOV STREET, FERGANA DISTRICT, FERGANA REGION",Uzbekistan,2017-06-13,2025-05-12,"Procurement Guidelines, 1.16(a)(ii)-(iii)-(iv)"
SAO BAC DAU TECHNOLOGY SERVICE JOINT STOCK COMPANY(Now known as Qi Technologies) (Reg. No.: 0305350288) *531,"BLOCK U 14B-16A, ROAD 22, TAN THUAN EPZ, TAN THUAN DONG WARD, DISTRICT 7, HO CHI MINH",Viet Nam,2020-06-23,2027-06-22,Controlled Affiliate of a Sanctioned Entity.
CONSTRUCCIONES Y SERVICIOS DE MINERÍA CONSERMIN S.A.*629,"AV. INTEROCEANICA E28C, CENTRO COMERCIAL PASEO SAN FRANCISCO BLDG., OFFICE 8, QUITO, PICHINCHA",Ecuador,2023-04-06,2026-02-05,Fraudulent Practice
LAXMINARAYAN CONSTRUCTION(also doing business as LAXMI NARAYAN CONSTRUCTION and LAXMINARAYAN MALLICK) *187,"PLOT NO. 2D – 221/10 SECTOR – 11, CDA CUTTACK, 753014",India,2014-03-25,2999-12-31,"May 2004 Consultant Guidelines, para. 1.22(a)(ii)"
MR. CARLOS ALBERTO DE OTERO LÓPEZ*626,"AV. ELOY ALFARO N2013 Y SUIZA, EDIFICIO SUIZA, MEZANINE, QUITO",Ecuador,2023-02-14,2026-04-13,Collusive Practice
AC OIL & GAS SL*622,"AVENIDA DIAGONAL 644, 08017, BARCELONA",Spain,2022-11-15,2025-11-14,Controlled Affiliate of a Sanctioned Entity
OOO RBC CENTER(CURRENTLY KNOWN AS OOO ARMADA CENTER) *197,"15, 5TH DONSKOY PROEZD, BUILDING 6, 117344, MOSCOW",Russian Federation,2014-05-02,2999-12-31,"May 2004 Consultant Guidelines, para. 1.22(a)(ii)"
MR. CARLOS BARBERÁN DIEZ*622,"AVENIDA DIAGONAL 644,08017, BARCELONA",Spain,2022-11-15,2025-11-14,Corrupt Practices
AC OIL & GAS EMIRATES LLC*622,"FUJAIRAH TOWER, 11TH FLOOR, FUJAIRAH",United Arab Emirates,2022-11-15,2025-11-14,Controlled Affiliate of a Sanctioned Entity
"INNER MONGOLIA YUHE CONSTRUCTION ENGINEERING CO., LTD.(内蒙古禹和建设工程有限公司)*632","12-01-01181, ZONE A, JINYU INTERNATIONAL COMMUNITY, SOUTH OF ZHAOSUHE STREET AND WEST OF CHIXI ROAD, QIAOBEI TOWN, HONGSHAN DISTRICT, CHIFENG CITY, INNER MONGOLIA",China,2023-05-02,2026-05-01,Controlled Affiliate of a Sanctioned Entity
LOTTE DATA COMMUNICATION R&D CENTER INDIA LLP*623,"CHENNAI, TAMIL NADU",India,2022-12-02,2025-12-01,Controlled Affiliate of a Sanctioned Entity.
LOTTE-HPT HIGH TECH. VIETNAM COMPANY LIMITED*623,HCMC,Viet Nam,2022-12-02,2025-12-01,Controlled Affiliate of a Sanctioned Entity.
"JOONGANG CONTROL CO., LTD.*623 (Reg. No. 111-81-21018)","54, JIKJI-DAERO 409BEON-GIL, HEUNGDEOK-GU, CHEONGJU-SI, CHUNGCHEONGBUK-DO","Korea, Republic of",2022-12-02,2025-12-01,Controlled Affiliate of a Sanctioned Entity.
MR. PHAM HONG HA*625,"B14 BUILDING, LANE 65, PHAM NGOC THACH STREET, HANOI",Viet Nam,2023-02-02,2028-03-01,Collusive Practices
PROJECTPLAN CONSULTORIA E PROJETOS LTDA(formerly MC Consulting Ltda.) *633,"RUA CAPITÃO ANTONIO ROSA, 376, 4º ANDAR - CJ 42, JARDIM PAULISTANO, SÃO PAULO - SP, CEP: 01443-010",Brazil,2023-06-30,2999-12-31,Fraudulent Practices
VOITH HYDRO SHANGHAI LTD.*609,"555 JING CHUAN ROAD, MINHANG, 200240 SHANGHAI",China,2022-04-12,2025-02-11,Collusive and Corrupt Practices
HA THANH GROUP JOINT STOCK COMPANY*625,"2ND FLOOR, NO. 475 TRAN KHAT CHAN, THANH NHAN WARD, HAI BA TRUNG DISTRICT, HANOI",Viet Nam,2023-02-02,2028-03-01,Controlled Affiliate of a Sanctioned Entity
MR. CAO XUAN TUNG*618,"L BLOCK, HOANG VAN THU, SUB-QUARTER (CIVIL GROUP) 56, HOANG VAN THU WARD,HOANG MAI DISTRICT, HANOI CITY",Viet Nam,2022-09-27,2027-10-26,Collusive Practices
MR. FRANK JOHN FRIDAY NNAJI*619,"PLOT 23/25 UNIJE STREET, INDEPENDENCE LAYOUT, ENUGU, ENUGU STATE",Nigeria,2022-10-04,2031-10-03,Fraudulent and Corrupt Practices
MR. SUJIT DAS*580,"ADMINISTRATION MANAGER, CROSSWORDS LIMITED, UN DRIVE & RANDALL STREET JN., OPP. STELLA MARIS POLYTECHNIC, MONROVIA",Liberia,2021-06-08,2029-06-07,Fraudulent & Obstructive Practices
REN CHAO,"NO. 6 EFANG FIRST ROAD, WEIYANG DISTRICT, XI'AN CITY",China,2020-12-16,2025-08-07,Cross Debarment: ADB
LIU LIJUN,"NO. 6 EFANG FIRST ROAD, WEIYANG DISTRICT, XI'AN CITY",China,2020-12-16,2025-08-07,Cross Debarment: ADB
SHAANXI HONGYI AUTOMOBILE SALES AND SERVICE CO. LTD.,"NO. 58, FENGCHAN ROAD, WEIYANG DISTRICT, XI'AN CITY, SHAANXI PROVINCE",China,2020-12-16,2025-08-07,Cross Debarment: ADB
SHAANXI HUAXING NEW CENTURY AUTOMOBILE SERVICE TRADE CO. LTD.,"AREA C5, FENGCHENG FOURTH ROAD ECONOMIC DEVELOPMENT (JINGKAI) DISTRICT, XI'AN CITY",China,2020-12-16,2025-08-07,Cross Debarment: ADB
PT. KARYA KITA PUTRA PERTIWI*574,"JL. RAYA GUNTUR NO. 18, KEDONGDONG KIDUL, DUKUPANTANG, CIREBON 45161",Indonesia,2021-05-13,2999-12-31,Fraudulent Practice
MR. OYO SUNARYO*576,"JL. RAYA GUNTUR NO. 18, KEDONGDONG KIDUL, DUKUPANTANG, CIREBON 45161",Indonesia,2021-05-13,2999-12-31,Fraudulent Practice
PT. TUBAGUS RANGIN*575,"JL. SITI ARMILAH NO. 54, RT/RW 002/013 MAJALENGKA KULON, JAWA BARAT 45418",Indonesia,2021-05-13,2999-12-31,Fraudulent Practice
PT. BINA CIPTA UTAMA*565,"JL. KSATRIA GG. ANGGREK NO. 114, KECAMATAN KESAMBI, KOTA CIREBON, CIREBON 45134",Indonesia,2021-02-17,2999-12-31,Fraudulent Practice
PT. BINA CIPTA UTAMA*565,"JL. CIDENG RAYA NO. 48 BLOK, STRIKEMBENG, RT/RW 003/001 DS. KERTAWINANGUN, KEC. KEDAWUNG, CIREBON, JAWA BARAT 45153",Indonesia,2021-02-17,2999-12-31,Fraudulent Practice
MR. DICLAH TAUREKA*607,"PO BOX 1140, BOROKO, NCD",Papua New Guinea,2022-04-05,2025-04-04,Collusive and Fraudulent Practices
SOFTTECH IT SOLUTIONS AND SERVICES LTD.*604,"SB 98 BANEX PLAZA, WUSE 11 – ABUJA, FCT",Nigeria,2022-03-29,2026-05-28,Corrupt Practice
MR. ISAH SALIHU KANTIGI*605,"MANAGING DIRECTOR, SOFTTECH IT SOLUTIONS AND SERVICES LTD., SB 98 BANEX PLAZA, WUSE 11 – ABUJA, FCT",Nigeria,2022-03-29,2027-03-28,Corrupt Practice
MADHUCON MEGA MALL PRIVATE LIMITED*396,"PLOT NO. 1129/A, MADHUCON HOUSE, ROAD NO. 36, HITECH CITY ROAD, JUBILEE HILLS, HYDERABAD, TELANGANA, 500033",India,2022-02-07,2999-12-31,Controlled Affiliate of a Sanctioned Entity
MADURAI-TUTICORIN EXPRESSWAYS LIMITED*396,"PLOT NO. 1129/A, MADHUCON HOUSE, ROAD NO. 36, HITECH CITY ROAD, JUBILEE HILLS, HYDERABAD, TELANGANA, 500033",India,2022-02-07,2999-12-31,Controlled Affiliate of a Sanctioned Entity
NAMA HOTELS PRIVATE LIMITED*396,"PLOT NO. 1129/A, MADHUCON HOUSE, ROAD NO. 36, HITECH CITY ROAD, JUBILEE HILLS, HYDERABAD, TELANGANA, 500033",India,2022-02-07,2999-12-31,Controlled Affiliate of a Sanctioned Entity
MADHUCON HEIGHTS PRIVATE LIMITED*396,"PLOT NO. 1129/A, MADHUCON HOUSE, ROAD NO. 36, HITECH CITY ROAD, JUBILEE HILLS, HYDERABAD, TELANGANA, 500033",India,2022-02-07,2999-12-31,Controlled Affiliate of a Sanctioned Entity
AIM CONSULTANTS LIMITED*601,"PLOT 267A, ETIM INYANG CRESCENT, VICTORIA ISLAND ANNEX, LAGOS",Nigeria,2022-02-22,2024-12-21,Corrupt Practice
MR. YUNUS JALALOV*621,"70 FIRDAVSI ST., GULISTAN TOWN, SYRDARYA REGION",Uzbekistan,2022-11-14,2025-04-13,Fraudulent Practice
NIEMTIN COMPANY LIMITED*613,"8TH FLOOR, 142 DOI CAN STREET, BA DINH DISTRICT, HANOI CITY",Viet Nam,2022-05-24,2025-03-23,Fraudulent Practice
ENGR. AMIN MOUSSALLI*602,"MANAGING DIRECTOR, AIM CONSULTANTS LIMITED, PLOT 267A, ETIM INYANG CRESCENT, VICTORIA ISLAND ANNEX, LAGOS",Nigeria,2022-02-22,2024-12-21,Corrupt Practice
“SUPPER FORTUNA” LLC*610,"70 FIRDAVSI ST., GULISTAN TOWN, SYRDARYA REGION",Uzbekistan,2022-04-13,2999-12-31,Fraudulent Practice
"NJS CO., LTD.(and all entities that it controls, except NJS E&M Co. and NJS Engineers India Pvt. Ltd.)*615","1-1-1, SHIBAURA, MINATO-KU, TOKYO, 105-0023",Japan,2022-08-30,2025-09-29,Corrupt and Fraudulent Practices
MADHUCON INFRA. LIMITED*396,"PLOT NO. 1129/A, MADHUCON HOUSE, ROAD NO. 36, HITECH CITY ROAD, JUBILEE HILLS, HYDERABAD, TELANGANA, 500033",India,2022-02-07,2999-12-31,Controlled Affiliate of a Sanctioned Entity
LINKS ALLEN SARL*611,"172, AVENUE DE LA PROVINCE, GOMBE, KINSHASA","Congo, Democratic Republic of",2022-04-15,2026-01-14,Fraudulent Practices
SALIHU SHEHU AHMAD TIJANI*587,"FLAT 6 BLOCK B97(BLK 69) PW MAROKO AREA G KUBWA, ABUJA",Nigeria,2021-10-19,2024-12-18,Corrupt Practices
AFRICA DEVELOPMENT PROFESSIONAL GROUP LTD.(Registration No. C. 148524)*588,"K-REP CENTRE, 4TH FLOOR, WOOD AVENUE, P.O. BOX 9390-00100, NAIROBI",Kenya,2021-11-09,2999-12-31,Fraudulent Practice
“KOGONNEFTEGAZENERGOSERVICE” LLC*593,"55 MELIORATOROV STREET,KAGANSKIY RAYON, BUKHARSKAYA OBLAST",Uzbekistan,2022-01-04,2025-01-03,Fraudulent Practice
ALYANS BETON LIMITED LIABILITY COMPANY*599,"I. ISMALIYOV STREET, DOM 8, KVARTIRA 79, KHATAINSKIY RAYON, BAKU",Azerbaijan,2022-02-10,2028-02-09,Fraudulent Practice
PT. TIRTA WIJAYA KARYA*597,"JL. OTTO ISKANDARDINATA NO. 297, SUBANG, JAWA BARAT 41217",Indonesia,2022-01-07,2999-12-31,Fraudulent Practice
